new_bus_id,epe_bus_id,new_station_id,epe_station_id,voltage_V,lon,lat
380,ml_st_195_500,195,ml_st_195,500000.0,-45.51578569,-22.46815018
381,ml_st_195_138,195,ml_st_195,138000.0,-45.51578569,-22.46815018
382,ml_st_196_230,196,ml_st_196,230000.0,-49.52373375,-14.94428676
383,ml_st_196_69,196,ml_st_196,69000.0,-49.52373375,-14.94428676
384,ml_st_197_345,197,ml_st_197,345000.0,-46.17655686,-23.54732483
385,ml_st_197_230,197,ml_st_197,230000.0,-46.17655686,-23.54732483
386,ml_st_197_88,197,ml_st_197,88000.0,-46.17655686,-23.54732483
387,ml_st_198_230,198,ml_st_198,230000.0,-49.31276398,-24.10246633
388,ml_st_198_138,198,ml_st_198,138000.0,-49.31276398,-24.10246633
389,ml_st_199_500,199,ml_st_199,500000.0,-46.90500307,-22.95702278
390,ml_st_199_138,199,ml_st_199,138000.0,-46.90500307,-22.95702278
391,ml_st_200_230,200,ml_st_200,230000.0,-53.23378624,-29.26047691
392,ml_st_201_230,201,ml_st_201,230000.0,-54.87486094,-17.07958671
393,ml_st_202_500,202,ml_st_202,500000.0,-49.1141363,-18.40721994
394,ml_st_202_345,202,ml_st_202,345000.0,-49.1141363,-18.40721994
395,ml_st_202_230,202,ml_st_202,230000.0,-49.1141363,-18.40721994
396,ml_st_203_345,203,ml_st_203,345000.0,-44.62914427,-21.29615293
397,ml_st_204_525,204,ml_st_204,525000.0,-51.67742708,-24.43101707
398,ml_st_205_750,205,ml_st_205,750000.0,-51.67408781,-24.4205869
399,ml_st_206_230,206,ml_st_206,230000.0,-53.57488709,-22.41790537
400,ml_st_206_138,206,ml_st_206,138000.0,-53.57488709,-22.41790537
401,ml_st_207_230,207,ml_st_207,230000.0,-38.48269123,-12.69696083
402,ml_st_207_69,207,ml_st_207,69000.0,-38.48269123,-12.69696083
403,ml_st_208_345,208,ml_st_208,345000.0,-43.42125895,-22.92410224
404,ml_st_208_138,208,ml_st_208,138000.0,-43.42125895,-22.92410224
405,ml_st_209_230,209,ml_st_209,230000.0,-49.69457105,-24.23384154
406,ml_st_209_138,209,ml_st_209,138000.0,-49.69457105,-24.23384154
407,ml_st_209_69,209,ml_st_209,69000.0,-49.69457105,-24.23384154
408,ml_st_210_500,210,ml_st_210,500000.0,-43.32577268,-15.92344517
409,ml_st_210_230,210,ml_st_210,230000.0,-43.32577268,-15.92344517
410,ml_st_211_440,211,ml_st_211,440000.0,-46.906601,-23.563037
411,ml_st_211_88,211,ml_st_211,88000.0,-46.906601,-23.563037
412,ml_st_212_500,212,ml_st_212,500000.0,-37.15034521,-10.8827808
413,ml_st_212_230,212,ml_st_212,230000.0,-37.15034521,-10.8827808
414,ml_st_212_69,212,ml_st_212,69000.0,-37.15034521,-10.8827808
415,ml_st_213_230,213,ml_st_213,230000.0,-62.45444186,-10.42327359
416,ml_st_213_69,213,ml_st_213,69000.0,-62.45444186,-10.42327359
417,ml_st_214_230,214,ml_st_214,230000.0,-52.09103102,-17.78605461
418,ml_st_214_138,214,ml_st_214,138000.0,-52.09103102,-17.78605461
419,ml_st_215_500,215,ml_st_215,500000.0,-58.83109693,-15.38133648
420,ml_st_215_230,215,ml_st_215,230000.0,-58.83109693,-15.38133648
